Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
BQru,BQ-6200L Aurora,BQru-6200L,3765MB,Phone,Mediatek MT6771,1080x2246,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
BQru,BQ-5520L Silk,BQru-5520L,887MB,Phone,Mediatek MT6739WW,720x1440,320,armeabi-v7a;armeabi,27,3.2
BQru,BQ-4001G,BQru-4001G,449MB,Phone,Spreadtrum SC7731E,480x800,240,armeabi-v7a;armeabi,27,3.2
BQru,BQ-5005L INTENSE,BQru_5005L,1941MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
BQru,BQru-1077L,BQru-1077L,876MB,Tablet,Spreadtrum SC9832,1280x800,213,armeabi-v7a;armeabi,24,2.0
BQru,Bqru-5037,BQru-5037,900MB,Phone,Qualcomm MSM8909,720x1280,320,armeabi-v7a;armeabi,25,3.0
BQru,BQ-5507L IRON MAX,BQru-5507L,1942MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
BQru,5060,BQru-5060,1973MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
BQru,BQ-5521 STRIKE POWER MAX,BQru-5521,894MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
BQru,BQru-5022,BQru,958MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
BQru,BQ-8068L,BQru-8068L,1802MB,Phone,Spreadtrum SC9832E,800x1280,240,arm64-v8a;armeabi-v7a;armeabi,27,3.2
BQru,BQ-5519L Tele2,BQru-5519L,1879MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
BQru,BQ-5002G,BQru-5002G,450MB,Phone,Spreadtrum SC7731E,480x854,240,armeabi-v7a;armeabi,27,3.2
BQru,BQru-5514G,BQru-5514G,935MB,Phone,Mediatek MT6580,720x1440,320,armeabi-v7a;armeabi,27,2.0
BQru,BQ-4501G,BQru-4501G,451MB,Phone,Mediatek MT6580M,480x854,240,armeabi-v7a;armeabi,27,2.0
Brandcode,L1f-pluss,L1f_pluss,1887MB,Phone,Mediatek MT6739WA,480x960,240,armeabi-v7a;armeabi,27,3.2
Brandt,BSTAR,BSTAR,875MB,Phone,Mediatek MT6739CH,480x960,240,armeabi-v7a;armeabi,27,3.2
Brandt,BSTAR+,BSTAR_PLUS,1892MB,Phone,Mediatek MT6739CH,720x1440,320,armeabi-v7a;armeabi,27,3.2
Brandt,B-ONE,B-ONE,4096MB,Phone,Qualcomm SDM450,720x1500,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Brandt,BPRIMES,BPRIMES,3719MB,Phone,Mediatek MT6797,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,26,3.2
Bravis,bravis_A506,bravis_A506,957MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
Bravis,A512 Harmony Pro,A512_Harmony_Pro,1936MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,27,2.0
Bravis,NB851,NB851,889MB,Tablet,Mediatek MT8321,800x1280,160,armeabi-v7a;armeabi,27,2.0
Bravis,N1-570 Space,N1-570-Space,1859MB,Phone,Mediatek MT6739WW,720x1440,320,armeabi-v7a;armeabi,27,3.2
Bravis,NB753,NB753,957MB,Tablet,Mediatek MT8321,1024x600,160,armeabi-v7a;armeabi,24,2.0
Bravis,NB108,NB108,1914MB,Tablet,Mediatek MT8735B,800x1280,160,armeabi-v7a;armeabi,27,3.1
Bravis,NB76,NB76,1906MB,Tablet,Mediatek MT8321,720x1280,160,armeabi-v7a;armeabi,27,2.0
Bravis,NB871,NB871,898MB,Tablet,Mediatek MT8735,800x1280,160,armeabi-v7a;armeabi,27,3.1
Bravis,N1_550_Cruiser,N1_550_Cruiser,1932MB,Phone,Mediatek MT6580,640x1280,320,armeabi-v7a;armeabi,27,2.0
Bravis,X500,BRAVIS_X500,1913MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
Bravis,A511 Harmony,A511_Harmony,929MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,27,2.0
Bravis,A509_Jeans,A509_Jeans,951MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,27,2.0
Bravis,A510_Jeans_4G,A510_Jeans_4G,906MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,27,3.1
Bravis,M9,M9,1895MB,Phone,Mediatek MT6739WA,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Bravva,Impress_Aero,Impress_Aero,954MB,Phone,Mediatek MT6580,480x960,240,armeabi-v7a;armeabi,27,2.0
Brighton,MAL-FWTVTB,MAL-FWTVTB,1976MB,Tablet,Mediatek MT8163,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Brightstar,C8,C8,925MB,Phone,Spreadtrum SC7731C,480x800,240,armeabi-v7a;armeabi,24,2.0
Brondi,730 4G HD,Brondi_730_4G_HD,877MB,Phone,Spreadtrum SC9832A,720x1280,320,armeabi-v7a;armeabi,24,2.0
Brondi,620SZ,G223_JH,926MB,Phone,Spreadtrum SC7731C,480x854,240,armeabi-v7a;armeabi,24,2.0
Brown,Brown2,I9080_PH1,3834MB,Phone,Mediatek MT6750,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Brown,brown tab1,brown_tab1,3769MB,Tablet,Mediatek MT6797,1536x2048,320,arm64-v8a;armeabi-v7a;armeabi,25,3.2
Bubblegum,Bubblegum,Bubblegum,981MB,Tablet,Rockchip RK3126C,1024x600,160,armeabi-v7a;armeabi,27,2.0
Bullitt Group,S30,CatS30,902MB,Phone,Qualcomm MSM8909,480x854,240,armeabi-v7a;armeabi,22,3.0
Bullitt Group,Cat S60,CatS60,2867MB,Phone,Qualcomm MSM8952,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23,3.1
Bush,Bush10Nou,Bush10Nou,1968MB,Tablet,Mediatek MT8163,1920x1200,240,armeabi-v7a;armeabi,27,3.1
Bush,BUSH SPIRA B3 10 TABLET,ac101boxv3,1960MB,Tablet,Mediatek MT8163A,1920x1200,240,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Bush,BUSH SPIRA B3 10 TABLET,ac101boxv2,1960MB,Tablet,Mediatek MT8163,1920x1200,240,arm64-v8a;armeabi-v7a;armeabi,24,3.1
